,ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,最大十分鐘降水量,最大十分鐘降水量起始時間,最大六十分鐘降水量,最大六十分鐘降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量,日最高紫外線指數,日最高紫外線指數時間,總雲量
512,998,2021/3/6,,326,2.15,499.8,25.11,121.26,22.0,597,16.9,MM60-6RT-300,1015.8 ,1018.4 ,1018.9 ,2021-03-06 22:24 ,1013.2 ,2021-03-06 04:41 ,16.1 ,17.4 ,2021-03-06 03:35 ,13.9 ,2021-03-06 08:39 ,15.7 ,98 ,95 ,2021-03-06 10:02 ,3.7 ,40 ,16.2 ,360 ,2021-03-06 08:34 ,31.0 ,11.4 ,3.0 ,2021-03-06 11:51 ,10.0 ,2021-03-06 11:51 ,0.0 ,0.0 ,2.37 ,5.0 ,-0.6 ,1 ,2021-03-06 14:00 ,10.0 
513,999,2021/3/6,,265,2.15,438.3,25.11,121.26,-160.0,597,16.9,MM60-6RT-300,1015.8 ,1018.4 ,1018.9 ,2021-03-06 22:24 ,1013.2 ,2021-03-06 04:41 ,16.1 ,17.4 ,2021-03-06 03:35 ,13.9 ,2021-03-06 08:39 ,15.7 ,98 ,95 ,2021-03-06 10:02 ,3.7 ,40 ,16.2 ,360 ,2021-03-06 08:34 ,31.0 ,11.4 ,3.0 ,2021-03-06 11:51 ,10.0 ,2021-03-06 11:51 ,0.0 ,0.0 ,2.37 ,5.0 ,-0.6 ,1 ,2021-03-06 14:00 ,10.0 
514,1003,2021/3/7,,138,2.08,283.2,24.98,121.03,-31.0,578,15.0,SEC-6M-60A-295,1018.0 ,1020.6 ,1020.0 ,2021-03-07 22:56 ,1015.9 ,2021-03-07 02:56 ,15.2 ,15.8 ,2021-03-07 08:34 ,14.3 ,2021-03-07 16:53 ,14.5 ,96 ,95 ,2021-03-07 02:27 ,7.8 ,40 ,16.7 ,40 ,2021-03-07 04:35 ,0.5 ,8.7 ,0.5 ,2021-03-07 16:48 ,0.5 ,2021-03-07 16:48 ,0.0 ,0.0 ,2.17 ,5.0 ,-0.2 ,1 ,2021-03-07 12:00 ,10.0 
515,1004,2021/3/7,,255,2.08,498.6,25.03,121.08,-95.0,578,15.2,MM60-6RT-300,1018.0 ,1020.6 ,1020.0 ,2021-03-07 22:56 ,1015.9 ,2021-03-07 02:56 ,15.2 ,15.8 ,2021-03-07 08:34 ,14.3 ,2021-03-07 16:53 ,14.5 ,96 ,95 ,2021-03-07 02:27 ,7.8 ,40 ,16.7 ,40 ,2021-03-07 04:35 ,0.5 ,8.7 ,0.5 ,2021-03-07 16:48 ,0.5 ,2021-03-07 16:48 ,0.0 ,0.0 ,2.17 ,5.0 ,-0.2 ,1 ,2021-03-07 12:00 ,10.0 
516,1005,2021/3/7,,285,1.52,499.8,25.11,121.26,22.0,422,16.3,MM60-6RT-300,1018.0 ,1020.6 ,1020.0 ,2021-03-07 22:56 ,1015.9 ,2021-03-07 02:56 ,15.2 ,15.8 ,2021-03-07 08:34 ,14.3 ,2021-03-07 16:53 ,14.5 ,96 ,95 ,2021-03-07 02:27 ,7.8 ,40 ,16.7 ,40 ,2021-03-07 04:35 ,0.5 ,8.7 ,0.5 ,2021-03-07 16:48 ,0.5 ,2021-03-07 16:48 ,0.0 ,0.0 ,2.17 ,5.0 ,-0.2 ,1 ,2021-03-07 12:00 ,10.0 
517,1006,2021/3/7,,231,1.52,438.3,25.11,121.26,-160.0,422,16.3,MM60-6RT-300,1018.0 ,1020.6 ,1020.0 ,2021-03-07 22:56 ,1015.9 ,2021-03-07 02:56 ,15.2 ,15.8 ,2021-03-07 08:34 ,14.3 ,2021-03-07 16:53 ,14.5 ,96 ,95 ,2021-03-07 02:27 ,7.8 ,40 ,16.7 ,40 ,2021-03-07 04:35 ,0.5 ,8.7 ,0.5 ,2021-03-07 16:48 ,0.5 ,2021-03-07 16:48 ,0.0 ,0.0 ,2.17 ,5.0 ,-0.2 ,1 ,2021-03-07 12:00 ,10.0 
518,1010,2021/3/8,,720,6.29,498.6,25.03,121.08,-95.0,1747,16.7,MM60-6RT-300,1018.5 ,1021.1 ,1019.8 ,2021-03-08 09:41 ,1016.7 ,2021-03-08 14:49 ,16.7 ,18.0 ,2021-03-08 09:41 ,15.2 ,2021-03-08 00:01 ,14.4 ,86 ,79 ,2021-03-08 12:39 ,7.6 ,40 ,16.9 ,40 ,2021-03-08 01:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.40 ,11.5 ,1.4 ,3 ,2021-03-08 11:00 ,10.0 
519,1011,2021/3/8,,469,6.29,283.2,24.98,121.03,-31.0,1747,16.7,SEC-6M-60A-295,1018.5 ,1021.1 ,1019.8 ,2021-03-08 09:41 ,1016.7 ,2021-03-08 14:49 ,16.7 ,18.0 ,2021-03-08 09:41 ,15.2 ,2021-03-08 00:01 ,14.4 ,86 ,79 ,2021-03-08 12:39 ,7.6 ,40 ,16.9 ,40 ,2021-03-08 01:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.40 ,11.5 ,1.4 ,3 ,2021-03-08 11:00 ,10.0 
520,1012,2021/3/8,,515,3.24,499.8,25.11,121.26,22.0,900,17.4,MM60-6RT-300,1018.5 ,1021.1 ,1019.8 ,2021-03-08 09:41 ,1016.7 ,2021-03-08 14:49 ,16.7 ,18.0 ,2021-03-08 09:41 ,15.2 ,2021-03-08 00:01 ,14.4 ,86 ,79 ,2021-03-08 12:39 ,7.6 ,40 ,16.9 ,40 ,2021-03-08 01:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.40 ,11.5 ,1.4 ,3 ,2021-03-08 11:00 ,10.0 
521,1013,2021/3/8,,416,3.24,438.3,25.11,121.26,-160.0,900,17.4,MM60-6RT-300,1018.5 ,1021.1 ,1019.8 ,2021-03-08 09:41 ,1016.7 ,2021-03-08 14:49 ,16.7 ,18.0 ,2021-03-08 09:41 ,15.2 ,2021-03-08 00:01 ,14.4 ,86 ,79 ,2021-03-08 12:39 ,7.6 ,40 ,16.9 ,40 ,2021-03-08 01:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.40 ,11.5 ,1.4 ,3 ,2021-03-08 11:00 ,10.0 
522,1015,2021/3/9,,1365,11.84,498.6,25.03,121.08,-95.0,3289,17.1,MM60-6RT-300,1018.4 ,1021.0 ,1020.2 ,2021-03-09 08:31 ,1016.9 ,2021-03-09 14:55 ,17.1 ,19.5 ,2021-03-09 11:17 ,15.8 ,2021-03-09 04:48 ,15.1 ,88 ,82 ,2021-03-09 09:59 ,6.7 ,40 ,15.2 ,40 ,2021-03-09 19:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.7 ,14.4 ,11.35 ,13.3 ,3.6 ,5 ,2021-03-09 11:00 ,9.0 
523,1016,2021/3/9,,847,11.84,283.2,24.98,121.03,-31.0,3289,17.5,SEC-6M-60A-295,1018.4 ,1021.0 ,1020.2 ,2021-03-09 08:31 ,1016.9 ,2021-03-09 14:55 ,17.1 ,19.5 ,2021-03-09 11:17 ,15.8 ,2021-03-09 04:48 ,15.1 ,88 ,82 ,2021-03-09 09:59 ,6.7 ,40 ,15.2 ,40 ,2021-03-09 19:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.7 ,14.4 ,11.35 ,13.3 ,3.6 ,5 ,2021-03-09 11:00 ,9.0 
524,1019,2021/3/9,,1207,8.96,499.8,25.11,121.26,22.0,2489,18.5,MM60-6RT-300,1018.4 ,1021.0 ,1020.2 ,2021-03-09 08:31 ,1016.9 ,2021-03-09 14:55 ,17.1 ,19.5 ,2021-03-09 11:17 ,15.8 ,2021-03-09 04:48 ,15.1 ,88 ,82 ,2021-03-09 09:59 ,6.7 ,40 ,15.2 ,40 ,2021-03-09 19:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.7 ,14.4 ,11.35 ,13.3 ,3.6 ,5 ,2021-03-09 11:00 ,9.0 
525,1020,2021/3/9,,1004,8.96,438.3,25.11,121.26,-160.0,2489,18.5,MM60-6RT-300,1018.4 ,1021.0 ,1020.2 ,2021-03-09 08:31 ,1016.9 ,2021-03-09 14:55 ,17.1 ,19.5 ,2021-03-09 11:17 ,15.8 ,2021-03-09 04:48 ,15.1 ,88 ,82 ,2021-03-09 09:59 ,6.7 ,40 ,15.2 ,40 ,2021-03-09 19:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.7 ,14.4 ,11.35 ,13.3 ,3.6 ,5 ,2021-03-09 11:00 ,9.0 
526,1022,2021/3/10,,1999,20.21,498.6,25.03,121.08,-95.0,5614,18.4,MM60-6RT-300,1018.6 ,1021.2 ,1020.6 ,2021-03-10 08:30 ,1016.7 ,2021-03-10 15:25 ,18.4 ,20.8 ,2021-03-10 10:45 ,17.0 ,2021-03-10 05:09 ,15.4 ,83 ,72 ,2021-03-10 10:54 ,8.9 ,40 ,20.8 ,50 ,2021-03-10 13:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,76.2 ,19.14 ,16.8 ,2.1 ,8 ,2021-03-10 13:00 ,4.2 
527,1025,2021/3/10,,1275,20.21,283.2,24.98,121.03,-31.0,5614,19.0,SEC-6M-60A-295,1018.6 ,1021.2 ,1020.6 ,2021-03-10 08:30 ,1016.7 ,2021-03-10 15:25 ,18.4 ,20.8 ,2021-03-10 10:45 ,17.0 ,2021-03-10 05:09 ,15.4 ,83 ,72 ,2021-03-10 10:54 ,8.9 ,40 ,20.8 ,50 ,2021-03-10 13:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,76.2 ,19.14 ,16.8 ,2.1 ,8 ,2021-03-10 13:00 ,4.2 
528,1026,2021/3/10,,1661,18.78,499.8,25.11,121.26,22.0,5217,19.6,MM60-6RT-300,1018.6 ,1021.2 ,1020.6 ,2021-03-10 08:30 ,1016.7 ,2021-03-10 15:25 ,18.4 ,20.8 ,2021-03-10 10:45 ,17.0 ,2021-03-10 05:09 ,15.4 ,83 ,72 ,2021-03-10 10:54 ,8.9 ,40 ,20.8 ,50 ,2021-03-10 13:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,76.2 ,19.14 ,16.8 ,2.1 ,8 ,2021-03-10 13:00 ,4.2 
529,1027,2021/3/10,,1390,18.78,438.3,25.11,121.26,-160.0,5217,19.6,MM60-6RT-300,1018.6 ,1021.2 ,1020.6 ,2021-03-10 08:30 ,1016.7 ,2021-03-10 15:25 ,18.4 ,20.8 ,2021-03-10 10:45 ,17.0 ,2021-03-10 05:09 ,15.4 ,83 ,72 ,2021-03-10 10:54 ,8.9 ,40 ,20.8 ,50 ,2021-03-10 13:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,76.2 ,19.14 ,16.8 ,2.1 ,8 ,2021-03-10 13:00 ,4.2 
530,1029,2021/3/11,,1673,15.69,498.6,25.03,121.08,-95.0,4358,17.2,MM60-6RT-300,1017.5 ,1020.1 ,1019.1 ,2021-03-11 09:14 ,1015.9 ,2021-03-11 16:56 ,17.2 ,19.5 ,2021-03-11 08:26 ,15.7 ,2021-03-11 19:11 ,15.8 ,91 ,83 ,2021-03-11 10:18 ,3.1 ,40 ,11.1 ,40 ,2021-03-11 00:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,31.3 ,14.38 ,11.0 ,3.0 ,6 ,2021-03-11 12:00 ,4.8 
531,1030,2021/3/11,,1001,15.69,283.2,24.98,121.03,-31.0,4358,17.6,SEC-6M-60A-295,1017.5 ,1020.1 ,1019.1 ,2021-03-11 09:14 ,1015.9 ,2021-03-11 16:56 ,17.2 ,19.5 ,2021-03-11 08:26 ,15.7 ,2021-03-11 19:11 ,15.8 ,91 ,83 ,2021-03-11 10:18 ,3.1 ,40 ,11.1 ,40 ,2021-03-11 00:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,31.3 ,14.38 ,11.0 ,3.0 ,6 ,2021-03-11 12:00 ,4.8 
532,1033,2021/3/11,,2057,18.37,499.8,25.11,121.26,22.0,5103,19.2,MM60-6RT-300,1017.5 ,1020.1 ,1019.1 ,2021-03-11 09:14 ,1015.9 ,2021-03-11 16:56 ,17.2 ,19.5 ,2021-03-11 08:26 ,15.7 ,2021-03-11 19:11 ,15.8 ,91 ,83 ,2021-03-11 10:18 ,3.1 ,40 ,11.1 ,40 ,2021-03-11 00:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,31.3 ,14.38 ,11.0 ,3.0 ,6 ,2021-03-11 12:00 ,4.8 
533,1034,2021/3/11,,1784,18.37,438.3,25.11,121.26,-160.0,5103,19.2,MM60-6RT-300,1017.5 ,1020.1 ,1019.1 ,2021-03-11 09:14 ,1015.9 ,2021-03-11 16:56 ,17.2 ,19.5 ,2021-03-11 08:26 ,15.7 ,2021-03-11 19:11 ,15.8 ,91 ,83 ,2021-03-11 10:18 ,3.1 ,40 ,11.1 ,40 ,2021-03-11 00:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,31.3 ,14.38 ,11.0 ,3.0 ,6 ,2021-03-11 12:00 ,4.8 
534,1036,2021/3/12,,1597,17.28,498.6,25.03,121.08,-95.0,4800,18.1,MM60-6RT-300,1017.4 ,1020.0 ,1019.1 ,2021-03-12 10:13 ,1015.7 ,2021-03-12 15:41 ,18.1 ,21.8 ,2021-03-12 13:57 ,15.5 ,2021-03-12 01:00 ,16.0 ,88 ,77 ,2021-03-12 15:09 ,5.1 ,50 ,17.7 ,40 ,2021-03-12 15:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.1 ,15.99 ,9.4 ,3.3 ,8 ,2021-03-12 13:00 ,6.7 
535,1037,2021/3/12,,1491,14.9,499.8,25.11,121.26,22.0,4139,18.8,MM60-6RT-300,1017.4 ,1020.0 ,1019.1 ,2021-03-12 10:13 ,1015.7 ,2021-03-12 15:41 ,18.1 ,21.8 ,2021-03-12 13:57 ,15.5 ,2021-03-12 01:00 ,16.0 ,88 ,77 ,2021-03-12 15:09 ,5.1 ,50 ,17.7 ,40 ,2021-03-12 15:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.1 ,15.99 ,9.4 ,3.3 ,8 ,2021-03-12 13:00 ,6.7 
536,1038,2021/3/12,,1226,14.9,438.3,25.11,121.26,-160.0,4139,18.8,MM60-6RT-300,1017.4 ,1020.0 ,1019.1 ,2021-03-12 10:13 ,1015.7 ,2021-03-12 15:41 ,18.1 ,21.8 ,2021-03-12 13:57 ,15.5 ,2021-03-12 01:00 ,16.0 ,88 ,77 ,2021-03-12 15:09 ,5.1 ,50 ,17.7 ,40 ,2021-03-12 15:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.1 ,15.99 ,9.4 ,3.3 ,8 ,2021-03-12 13:00 ,6.7 
537,1039,2021/3/12,,1058,17.28,283.2,24.98,121.03,-31.0,4800,18.9,SEC-6M-60A-295,1017.4 ,1020.0 ,1019.1 ,2021-03-12 10:13 ,1015.7 ,2021-03-12 15:41 ,18.1 ,21.8 ,2021-03-12 13:57 ,15.5 ,2021-03-12 01:00 ,16.0 ,88 ,77 ,2021-03-12 15:09 ,5.1 ,50 ,17.7 ,40 ,2021-03-12 15:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.1 ,15.99 ,9.4 ,3.3 ,8 ,2021-03-12 13:00 ,6.7 
538,1043,2021/3/13,,2252,20.57,498.6,25.03,121.08,-95.0,5714,17.7,MM60-6RT-300,1017.1 ,1019.7 ,1018.8 ,2021-03-13 08:03 ,1015.6 ,2021-03-13 18:14 ,17.7 ,19.8 ,2021-03-13 10:24 ,16.3 ,2021-03-13 16:18 ,13.2 ,75 ,65 ,2021-03-13 10:21 ,7.7 ,40 ,17.3 ,40 ,2021-03-13 13:29 ,T ,0.1 ,T ,2021-03-13 16:05 ,T ,2021-03-13 16:05 ,7.6 ,64.0 ,19.54 ,17.3 ,-4.4 ,9 ,2021-03-13 13:00 ,4.8 
539,1044,2021/3/13,,1295,20.57,283.2,24.98,121.03,-31.0,5714,18.2,SEC-6M-60A-295,1017.1 ,1019.7 ,1018.8 ,2021-03-13 08:03 ,1015.6 ,2021-03-13 18:14 ,17.7 ,19.8 ,2021-03-13 10:24 ,16.3 ,2021-03-13 16:18 ,13.2 ,75 ,65 ,2021-03-13 10:21 ,7.7 ,40 ,17.3 ,40 ,2021-03-13 13:29 ,T ,0.1 ,T ,2021-03-13 16:05 ,T ,2021-03-13 16:05 ,7.6 ,64.0 ,19.54 ,17.3 ,-4.4 ,9 ,2021-03-13 13:00 ,4.8 
540,1047,2021/3/13,,2234,20.01,499.8,25.11,121.26,22.0,5558,18.9,MM60-6RT-300,1017.1 ,1019.7 ,1018.8 ,2021-03-13 08:03 ,1015.6 ,2021-03-13 18:14 ,17.7 ,19.8 ,2021-03-13 10:24 ,16.3 ,2021-03-13 16:18 ,13.2 ,75 ,65 ,2021-03-13 10:21 ,7.7 ,40 ,17.3 ,40 ,2021-03-13 13:29 ,T ,0.1 ,T ,2021-03-13 16:05 ,T ,2021-03-13 16:05 ,7.6 ,64.0 ,19.54 ,17.3 ,-4.4 ,9 ,2021-03-13 13:00 ,4.8 
541,1048,2021/3/13,,1915,20.01,438.3,25.11,121.26,-160.0,5558,18.9,MM60-6RT-300,1017.1 ,1019.7 ,1018.8 ,2021-03-13 08:03 ,1015.6 ,2021-03-13 18:14 ,17.7 ,19.8 ,2021-03-13 10:24 ,16.3 ,2021-03-13 16:18 ,13.2 ,75 ,65 ,2021-03-13 10:21 ,7.7 ,40 ,17.3 ,40 ,2021-03-13 13:29 ,T ,0.1 ,T ,2021-03-13 16:05 ,T ,2021-03-13 16:05 ,7.6 ,64.0 ,19.54 ,17.3 ,-4.4 ,9 ,2021-03-13 13:00 ,4.8 
542,1050,2021/3/14,,2492,23.58,498.6,25.03,121.08,-95.0,6550,18.6,MM60-6RT-300,1014.5 ,1017.1 ,1016.9 ,2021-03-14 08:44 ,1012.6 ,2021-03-14 15:30 ,18.6 ,21.4 ,2021-03-14 14:04 ,16.5 ,2021-03-14 04:37 ,14.6 ,78 ,67 ,2021-03-14 10:51 ,5.5 ,40 ,14.9 ,50 ,2021-03-14 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,88.2 ,22.37 ,17.3 ,4.2 ,10 ,2021-03-14 13:00 ,1.8 
543,1053,2021/3/14,,1451,23.58,283.2,24.98,121.03,-31.0,6550,19.6,SEC-6M-60A-295,1014.5 ,1017.1 ,1016.9 ,2021-03-14 08:44 ,1012.6 ,2021-03-14 15:30 ,18.6 ,21.4 ,2021-03-14 14:04 ,16.5 ,2021-03-14 04:37 ,14.6 ,78 ,67 ,2021-03-14 10:51 ,5.5 ,40 ,14.9 ,50 ,2021-03-14 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,88.2 ,22.37 ,17.3 ,4.2 ,10 ,2021-03-14 13:00 ,1.8 
544,1055,2021/3/14,,2502,22.18,499.8,25.11,121.26,22.0,6161,20.7,MM60-6RT-300,1014.5 ,1017.1 ,1016.9 ,2021-03-14 08:44 ,1012.6 ,2021-03-14 15:30 ,18.6 ,21.4 ,2021-03-14 14:04 ,16.5 ,2021-03-14 04:37 ,14.6 ,78 ,67 ,2021-03-14 10:51 ,5.5 ,40 ,14.9 ,50 ,2021-03-14 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,88.2 ,22.37 ,17.3 ,4.2 ,10 ,2021-03-14 13:00 ,1.8 
545,1056,2021/3/14,,2132,22.18,438.3,25.11,121.26,-160.0,6161,20.7,MM60-6RT-300,1014.5 ,1017.1 ,1016.9 ,2021-03-14 08:44 ,1012.6 ,2021-03-14 15:30 ,18.6 ,21.4 ,2021-03-14 14:04 ,16.5 ,2021-03-14 04:37 ,14.6 ,78 ,67 ,2021-03-14 10:51 ,5.5 ,40 ,14.9 ,50 ,2021-03-14 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,88.2 ,22.37 ,17.3 ,4.2 ,10 ,2021-03-14 13:00 ,1.8 
546,1057,2021/3/15,,2348,22.44,498.6,25.03,121.08,-95.0,6233,18.0,MM60-6RT-300,1012.4 ,1014.9 ,1013.8 ,2021-03-15 08:42 ,1011.4 ,2021-03-15 14:43 ,18.0 ,22.1 ,2021-03-15 09:11 ,14.7 ,2021-03-15 05:35 ,16.0 ,88 ,71 ,2021-03-15 09:07 ,1.7 ,220 ,7.8 ,290 ,2021-03-15 13:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,87.2 ,21.38 ,8.7 ,4.2 ,9 ,2021-03-15 13:00 ,2.0 
547,1058,2021/3/15,,1372,22.44,283.2,24.98,121.03,-31.0,6233,18.4,SEC-6M-60A-295,1012.4 ,1014.9 ,1013.8 ,2021-03-15 08:42 ,1011.4 ,2021-03-15 14:43 ,18.0 ,22.1 ,2021-03-15 09:11 ,14.7 ,2021-03-15 05:35 ,16.0 ,88 ,71 ,2021-03-15 09:07 ,1.7 ,220 ,7.8 ,290 ,2021-03-15 13:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,87.2 ,21.38 ,8.7 ,4.2 ,9 ,2021-03-15 13:00 ,2.0 
548,1061,2021/3/15,,2355,21.04,499.8,25.11,121.26,22.0,5844,20.1,MM60-6RT-300,1012.4 ,1014.9 ,1013.8 ,2021-03-15 08:42 ,1011.4 ,2021-03-15 14:43 ,18.0 ,22.1 ,2021-03-15 09:11 ,14.7 ,2021-03-15 05:35 ,16.0 ,88 ,71 ,2021-03-15 09:07 ,1.7 ,220 ,7.8 ,290 ,2021-03-15 13:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,87.2 ,21.38 ,8.7 ,4.2 ,9 ,2021-03-15 13:00 ,2.0 
549,1062,2021/3/15,,2030,21.04,438.3,25.11,121.26,-160.0,5844,20.1,MM60-6RT-300,1012.4 ,1014.9 ,1013.8 ,2021-03-15 08:42 ,1011.4 ,2021-03-15 14:43 ,18.0 ,22.1 ,2021-03-15 09:11 ,14.7 ,2021-03-15 05:35 ,16.0 ,88 ,71 ,2021-03-15 09:07 ,1.7 ,220 ,7.8 ,290 ,2021-03-15 13:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,87.2 ,21.38 ,8.7 ,4.2 ,9 ,2021-03-15 13:00 ,2.0 
550,1064,2021/3/16,,2386,23.76,498.6,25.03,121.08,-95.0,6600,20.8,MM60-6RT-300,1011.6 ,1014.2 ,1013.2 ,2021-03-16 08:01 ,1009.9 ,2021-03-16 15:27 ,20.8 ,25.8 ,2021-03-16 12:07 ,15.7 ,2021-03-16 04:19 ,16.0 ,76 ,52 ,2021-03-16 13:56 ,1.8 ,300 ,5.7 ,320 ,2021-03-16 05:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,90.3 ,22.58 ,12.9 ,4.1 ,10 ,2021-03-16 13:00 ,0.3 
551,1065,2021/3/16,,2466,22.49,499.8,25.11,121.26,22.0,6247,21.1,MM60-6RT-300,1011.6 ,1014.2 ,1013.2 ,2021-03-16 08:01 ,1009.9 ,2021-03-16 15:27 ,20.8 ,25.8 ,2021-03-16 12:07 ,15.7 ,2021-03-16 04:19 ,16.0 ,76 ,52 ,2021-03-16 13:56 ,1.8 ,300 ,5.7 ,320 ,2021-03-16 05:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,90.3 ,22.58 ,12.9 ,4.1 ,10 ,2021-03-16 13:00 ,0.3 
552,1066,2021/3/16,,2107,22.49,438.3,25.11,121.26,-160.0,6247,21.1,MM60-6RT-300,1011.6 ,1014.2 ,1013.2 ,2021-03-16 08:01 ,1009.9 ,2021-03-16 15:27 ,20.8 ,25.8 ,2021-03-16 12:07 ,15.7 ,2021-03-16 04:19 ,16.0 ,76 ,52 ,2021-03-16 13:56 ,1.8 ,300 ,5.7 ,320 ,2021-03-16 05:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,90.3 ,22.58 ,12.9 ,4.1 ,10 ,2021-03-16 13:00 ,0.3 
553,1067,2021/3/16,,1389,23.76,283.2,24.98,121.03,-31.0,6600,21.1,SEC-6M-60A-295,1011.6 ,1014.2 ,1013.2 ,2021-03-16 08:01 ,1009.9 ,2021-03-16 15:27 ,20.8 ,25.8 ,2021-03-16 12:07 ,15.7 ,2021-03-16 04:19 ,16.0 ,76 ,52 ,2021-03-16 13:56 ,1.8 ,300 ,5.7 ,320 ,2021-03-16 05:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,90.3 ,22.58 ,12.9 ,4.1 ,10 ,2021-03-16 13:00 ,0.3 
554,1071,2021/3/17,,667,6.09,498.6,25.03,121.08,-95.0,1692,17.8,MM60-6RT-300,1012.3 ,1014.9 ,1013.5 ,2021-03-17 08:55 ,1011.3 ,2021-03-17 03:35 ,17.8 ,19.5 ,2021-03-17 00:44 ,17.0 ,2021-03-17 17:09 ,17.3 ,97 ,82 ,2021-03-17 00:01 ,4.4 ,40 ,9.7 ,40 ,2021-03-17 20:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.05 ,1.1 ,-0.2 ,3 ,2021-03-17 12:00 ,10.0 
555,1072,2021/3/17,,465,6.09,283.2,24.98,121.03,-31.0,1692,18.3,SEC-6M-60A-295,1012.3 ,1014.9 ,1013.5 ,2021-03-17 08:55 ,1011.3 ,2021-03-17 03:35 ,17.8 ,19.5 ,2021-03-17 00:44 ,17.0 ,2021-03-17 17:09 ,17.3 ,97 ,82 ,2021-03-17 00:01 ,4.4 ,40 ,9.7 ,40 ,2021-03-17 20:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.05 ,1.1 ,-0.2 ,3 ,2021-03-17 12:00 ,10.0 
556,1073,2021/3/17,,732,6.17,499.8,25.11,121.26,22.0,1714,18.5,MM60-6RT-300,1012.3 ,1014.9 ,1013.5 ,2021-03-17 08:55 ,1011.3 ,2021-03-17 03:35 ,17.8 ,19.5 ,2021-03-17 00:44 ,17.0 ,2021-03-17 17:09 ,17.3 ,97 ,82 ,2021-03-17 00:01 ,4.4 ,40 ,9.7 ,40 ,2021-03-17 20:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,6.05 ,1.1 ,-0.2 ,3 ,2021-03-17 12:00 ,10.0 
